                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1054,                 5.0676,                  3.892,                  8e-05,                0.00941,                  4e-05,                  1e-05,                 5.4958,                 4.6033,                 4.2282,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.4998,                 2.3043,                 2.1858,                0.34627,                 0.2669,                0.22729,                0.07013,                 2.4912,                 2.7918,                  2.334,              0.0012592,              0.0012592,              0.0012592
                      3,                 2.1427,                 1.8038,                 1.7957,                0.62261,                0.62714,                0.58836,                0.23018,                 2.0375,                 1.6905,                 1.9687,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.9786,                 1.4904,                 1.6131,                0.77094,                0.61359,                0.70635,                0.31144,                 1.9234,                 1.6414,                 1.7802,               0.001703,               0.001703,               0.001703
                      5,                 1.8973,                 1.4026,                 1.5851,                0.73272,                0.65334,                0.70836,                0.31512,                 1.9136,                 1.5371,                 1.7867,               0.001604,               0.001604,               0.001604
                      6,                 1.8251,                 1.2571,                 1.4961,                 0.8553,                0.72613,                0.82042,                0.35452,                 1.8661,                 1.5064,                 1.7393,               0.001505,               0.001505,               0.001505
                      7,                 1.7981,                 1.2005,                  1.459,                 0.8468,                0.72613,                0.83472,                0.43927,                 1.7195,                 1.2788,                 1.6054,               0.001406,               0.001406,               0.001406
                      8,                 1.7948,                 1.1922,                 1.4643,                0.87484,                 0.7574,                0.84789,                0.42687,                  1.752,                 1.2363,                 1.6244,               0.001307,               0.001307,               0.001307
                      9,                 1.7464,                 1.1381,                 1.4363,                0.84295,                0.74564,                0.83263,                0.39238,                 1.8713,                 1.2147,                 1.6851,               0.001208,               0.001208,               0.001208
                     10,                 1.6701,                 1.0571,                 1.3826,                0.85911,                0.76701,                0.85074,                0.38882,                 1.8463,                 1.1734,                 1.6372,               0.001109,               0.001109,               0.001109
                     11,                 1.6891,                 1.0969,                 1.4428,                0.84397,                0.78024,                0.85071,                0.43906,                 1.7573,                 1.1737,                 1.5989,                0.00101,                0.00101,                0.00101
                     12,                 1.6476,                 1.0428,                 1.4215,                0.91624,                0.80422,                0.89772,                0.47547,                 1.6751,                 1.0372,                 1.5538,               0.000911,               0.000911,               0.000911
                     13,                 1.6236,                0.98599,                  1.402,                0.87794,                0.80174,                0.90299,                0.50091,                 1.5608,                0.97635,                 1.4837,               0.000812,               0.000812,               0.000812
                     14,                  1.596,                 0.9671,                 1.3773,                0.91036,                0.83589,                0.91607,                 0.5202,                 1.5658,                0.96139,                 1.4654,               0.000713,               0.000713,               0.000713
                     15,                 1.5772,                0.93897,                 1.3723,                0.87914,                0.82369,                0.90823,                0.53505,                 1.4787,                0.95354,                 1.4341,               0.000614,               0.000614,               0.000614
                     16,                  1.525,                0.89409,                 1.3415,                0.91157,                0.84408,                0.92334,                0.54626,                 1.4804,                0.94355,                 1.4268,               0.000515,               0.000515,               0.000515
                     17,                 1.5195,                0.87898,                 1.3434,                0.91827,                0.85342,                0.92541,                0.55898,                 1.4614,                0.88492,                 1.3984,               0.000416,               0.000416,               0.000416
                     18,                 1.4843,                0.83767,                 1.3061,                0.91071,                0.84042,                0.92311,                0.53287,                 1.5079,                0.88824,                 1.4161,               0.000317,               0.000317,               0.000317
                     19,                 1.4859,                0.82934,                 1.3192,                0.91278,                0.85401,                0.93145,                0.56731,                 1.4226,                0.83604,                 1.3743,               0.000218,               0.000218,               0.000218
                     20,                   1.47,                0.81929,                 1.3012,                0.92039,                0.85805,                 0.9373,                 0.5696,                 1.4245,                0.81056,                 1.3715,               0.000119,               0.000119,               0.000119
