                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.173,                 4.9211,                 3.5828,                0.00012,                0.01631,                  6e-05,                  1e-05,                  4.955,                  5.665,                 4.2189,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.2151,                 1.8862,                  1.884,                0.03309,                0.42251,                 0.0197,                0.00498,                 3.2993,                 24.587,                 4.4495,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8769,                 1.4638,                 1.5583,                0.64635,                0.41313,                0.42933,                0.14776,                 3.0143,                 2.3711,                  2.972,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.7738,                 1.3023,                 1.4019,                0.74519,                0.47587,                0.52246,                0.18192,                 2.8869,                 2.4131,                 2.8188,               0.001703,               0.001703,               0.001703
                      5,                 1.6649,                 1.1733,                 1.3307,                0.67637,                0.46819,                0.49806,                0.18324,                 2.8281,                   2.44,                 2.7084,               0.001604,               0.001604,               0.001604
                      6,                 1.6033,                 1.0826,                 1.2783,                0.72368,                0.51055,                0.54389,                0.19265,                  2.839,                 2.1103,                 2.7992,               0.001505,               0.001505,               0.001505
                      7,                 1.5853,                 1.0109,                 1.2464,                0.73023,                0.48695,                0.53499,                0.18663,                 2.8046,                 2.0797,                  2.926,               0.001406,               0.001406,               0.001406
                      8,                 1.5707,                 1.0139,                  1.263,                0.70089,                0.49878,                0.52384,                0.17624,                 2.9379,                 2.3507,                 2.7644,               0.001307,               0.001307,               0.001307
                      9,                 1.4806,                0.94738,                 1.2156,                0.62999,                0.55689,                0.52225,                0.16149,                 2.7509,                 1.8801,                 2.7537,               0.001208,               0.001208,               0.001208
                     10,                 1.4876,                 0.9071,                 1.1962,                0.73478,                0.50957,                0.55835,                0.19031,                 2.8665,                 2.1319,                 2.6725,               0.001109,               0.001109,               0.001109
                     11,                  1.438,                0.92935,                 1.2236,                0.65741,                 0.4739,                0.49507,                0.17513,                  2.851,                 2.5719,                 2.8232,                0.00101,                0.00101,                0.00101
                     12,                 1.4051,                0.84644,                 1.1977,                0.69319,                0.51387,                0.55285,                0.18783,                 2.9326,                 2.0566,                 2.7898,               0.000911,               0.000911,               0.000911
                     13,                 1.3644,                0.79315,                 1.1948,                  0.746,                0.52162,                0.57987,                0.20385,                 2.8116,                 1.9351,                 2.7725,               0.000812,               0.000812,               0.000812
                     14,                 1.3465,                 0.7819,                 1.1751,                0.69717,                0.51713,                0.56593,                0.20105,                  2.889,                 2.1057,                 2.7801,               0.000713,               0.000713,               0.000713
                     15,                 1.3415,                0.76699,                 1.1748,                0.70479,                0.51101,                0.58192,                0.22167,                 2.7682,                 2.0075,                 2.7215,               0.000614,               0.000614,               0.000614
                     16,                 1.3278,                0.74192,                 1.1579,                0.72455,                0.50408,                0.54804,                 0.1791,                 2.8677,                 2.0389,                 2.9019,               0.000515,               0.000515,               0.000515
                     17,                 1.2891,                0.71742,                 1.1494,                0.70974,                0.50558,                0.56275,                0.19283,                 2.8629,                 2.0493,                 2.6912,               0.000416,               0.000416,               0.000416
                     18,                  1.298,                0.70903,                 1.1435,                0.70446,                0.49307,                0.54926,                0.19615,                 2.8874,                 2.1224,                 2.7136,               0.000317,               0.000317,               0.000317
                     19,                  1.279,                0.68049,                 1.1462,                0.72246,                0.49429,                0.56859,                0.19666,                 2.8637,                 2.2713,                 2.7418,               0.000218,               0.000218,               0.000218
                     20,                 1.2556,                0.66904,                 1.1244,                0.71979,                 0.5155,                0.57774,                0.19783,                 2.8581,                 2.0595,                 2.7201,               0.000119,               0.000119,               0.000119
