                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0399,                 4.8966,                 3.7846,                  8e-05,                0.00941,                  4e-05,                  1e-05,                 5.5291,                 4.9784,                 4.2793,             0.00065812,             0.00065812,             0.00065812
                      2,                  2.462,                 2.2355,                 2.1364,                0.53992,                0.56585,                0.50444,                0.19586,                 2.2109,                 2.3769,                 2.2974,              0.0012592,              0.0012592,              0.0012592
                      3,                 2.1223,                 1.6658,                 1.7261,                0.79488,                0.68118,                0.76191,                0.34989,                  1.985,                 1.4872,                 1.8469,              0.0017943,              0.0017943,              0.0017943
                      4,                 2.0356,                 1.4765,                 1.6167,                0.71859,                0.65854,                  0.686,                0.31469,                 1.8962,                 1.4891,                 1.7842,               0.001703,               0.001703,               0.001703
                      5,                 1.9255,                 1.3915,                 1.5697,                0.75036,                0.62613,                0.71654,                0.29255,                  1.942,                  1.555,                 1.7992,               0.001604,               0.001604,               0.001604
                      6,                 1.8323,                 1.2627,                 1.4952,                0.76069,                0.65456,                0.73218,                0.31258,                 1.9152,                 1.5018,                  1.747,               0.001505,               0.001505,               0.001505
                      7,                 1.7773,                 1.1839,                 1.4726,                0.78975,                0.73589,                0.78351,                0.33581,                 1.7811,                 1.3335,                   1.66,               0.001406,               0.001406,               0.001406
                      8,                 1.7457,                 1.1697,                 1.4379,                0.89181,                0.77038,                 0.8698,                0.44279,                 1.7515,                 1.1349,                 1.6391,               0.001307,               0.001307,               0.001307
                      9,                  1.727,                 1.0847,                 1.4275,                0.90932,                0.78617,                0.87466,                0.47754,                 1.6636,                 1.1213,                 1.5921,               0.001208,               0.001208,               0.001208
                     10,                 1.6869,                 1.0455,                 1.3785,                0.79561,                0.75953,                0.81065,                0.37198,                 1.7844,                 1.1691,                 1.6131,               0.001109,               0.001109,               0.001109
                     11,                 1.6508,                 1.0676,                 1.4376,                0.90218,                0.79094,                0.89417,                0.48228,                 1.6658,                  1.074,                 1.5679,                0.00101,                0.00101,                0.00101
                     12,                 1.6409,                 1.0686,                 1.4366,                0.90439,                0.78442,                0.88019,                0.45065,                 1.7092,                 1.1257,                 1.6164,               0.000911,               0.000911,               0.000911
                     13,                 1.6158,                 1.0178,                 1.4105,                0.82087,                 0.8122,                0.82727,                0.45621,                  1.556,                 1.0937,                 1.5077,               0.000812,               0.000812,               0.000812
                     14,                 1.5789,                0.97595,                 1.3792,                0.87998,                0.81498,                0.90635,                0.53204,                 1.4939,                0.96275,                  1.449,               0.000713,               0.000713,               0.000713
                     15,                 1.5741,                 0.9536,                 1.3845,                0.88969,                0.82623,                0.89895,                0.46692,                 1.6711,                0.99245,                 1.5187,               0.000614,               0.000614,               0.000614
                     16,                 1.5462,                0.89249,                 1.3726,                0.87023,                0.83206,                0.90121,                0.52113,                  1.529,                0.94779,                 1.4603,               0.000515,               0.000515,               0.000515
                     17,                 1.5035,                  0.873,                 1.3314,                 0.9073,                0.84251,                0.92395,                0.54047,                 1.5235,                0.88569,                 1.4461,               0.000416,               0.000416,               0.000416
                     18,                 1.4904,                 0.8401,                  1.339,                0.90672,                0.84564,                0.92734,                0.55644,                 1.4692,                0.86913,                 1.4178,               0.000317,               0.000317,               0.000317
                     19,                 1.4779,                0.84289,                 1.3229,                 0.9246,                0.84808,                 0.9338,                0.54879,                   1.47,                0.87008,                 1.4059,               0.000218,               0.000218,               0.000218
                     20,                 1.4833,                0.81987,                 1.3231,                0.91244,                0.83871,                0.93035,                0.56441,                 1.4341,                0.82786,                 1.3943,               0.000119,               0.000119,               0.000119
