                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9395,                 4.9517,                 3.6086,                0.00013,                0.01754,                  7e-05,                  1e-05,                 4.9234,                 5.5759,                 4.1836,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.1784,                 1.9172,                   1.79,                0.32287,                0.33197,                 0.2031,                0.04835,                 3.3418,                 2.4746,                 3.3826,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8588,                 1.4653,                 1.4893,                0.13621,                0.52651,                0.09334,                0.03233,                 2.8761,                 8.4217,                 3.1513,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.7136,                   1.27,                 1.3391,                0.06953,                0.52732,                0.04851,                0.01645,                 2.9372,                    inf,                 3.5577,               0.001703,               0.001703,               0.001703
                      5,                 1.6624,                 1.1573,                 1.2993,                0.73789,                0.44657,                0.49611,                0.17869,                 2.9137,                 2.4276,                 2.7649,               0.001604,               0.001604,               0.001604
                      6,                 1.5955,                 1.0937,                 1.2547,                0.65872,                0.45025,                0.50074,                 0.1848,                 2.8451,                 2.1798,                 2.7389,               0.001505,               0.001505,               0.001505
                      7,                 1.5985,                  1.015,                 1.2355,                0.73064,                0.51754,                0.53563,                0.17301,                 2.9539,                  2.009,                 2.7935,               0.001406,               0.001406,               0.001406
                      8,                 1.5183,                0.98459,                  1.227,                0.43695,                0.43556,                0.27187,                0.10129,                 2.9325,                 2.5842,                 2.8836,               0.001307,               0.001307,               0.001307
                      9,                 1.4889,                0.96619,                 1.2079,                0.64884,                0.47398,                0.51683,                0.17349,                 2.8222,                 1.9844,                 2.7767,               0.001208,               0.001208,               0.001208
                     10,                 1.4849,                0.88964,                  1.183,                0.71886,                0.48002,                 0.5303,                0.18764,                 2.8819,                 2.2573,                 2.6663,               0.001109,               0.001109,               0.001109
                     11,                 1.4467,                0.90403,                 1.2203,                0.70346,                0.52243,                0.55983,                0.19989,                 2.8138,                 1.9927,                 2.7815,                0.00101,                0.00101,                0.00101
                     12,                 1.4209,                 0.8459,                 1.1954,                 0.6943,                0.47186,                0.54006,                0.19355,                 2.8168,                  2.199,                 2.5926,               0.000911,               0.000911,               0.000911
                     13,                 1.3657,                0.79787,                 1.1895,                0.65392,                0.47879,                 0.5141,                0.19276,                 2.8693,                 2.0781,                  2.806,               0.000812,               0.000812,               0.000812
                     14,                 1.3476,                0.79491,                 1.1689,                0.68512,                0.49184,                0.55004,                0.21771,                 2.7528,                 1.9525,                 2.6878,               0.000713,               0.000713,               0.000713
                     15,                 1.3614,                0.74933,                  1.172,                0.64788,                0.45699,                0.53028,                0.19218,                 2.7965,                 2.1209,                  2.729,               0.000614,               0.000614,               0.000614
                     16,                 1.3245,                0.72509,                 1.1499,                0.71142,                    0.5,                0.55615,                 0.2032,                  2.844,                 2.1248,                 2.6448,               0.000515,               0.000515,               0.000515
                     17,                 1.3061,                0.71673,                 1.1477,                0.70655,                0.48736,                0.54427,                0.19693,                 2.8462,                 2.1095,                 2.6495,               0.000416,               0.000416,               0.000416
                     18,                 1.3179,                0.70398,                 1.1416,                 0.6432,                0.47186,                0.51911,                0.19222,                 2.8791,                 2.1277,                 2.7408,               0.000317,               0.000317,               0.000317
                     19,                 1.2787,                 0.6785,                 1.1369,                0.69185,                0.46533,                0.53273,                0.18269,                 2.8744,                 2.3004,                 2.6596,               0.000218,               0.000218,               0.000218
                     20,                 1.2584,                0.66699,                 1.1177,                0.69762,                0.48654,                0.54436,                0.19506,                 2.8659,                 2.1675,                 2.6925,               0.000119,               0.000119,               0.000119
