                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9745,                 4.9653,                 3.7879,                  8e-05,                0.00906,                  4e-05,                  1e-05,                 5.5102,                 4.6685,                 4.2663,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.4761,                 2.2673,                 2.2235,                0.54578,                0.60279,                0.51512,                0.18312,                 2.3475,                 2.0918,                 2.3394,              0.0012592,              0.0012592,              0.0012592
                      3,                 2.0795,                  1.677,                 1.7672,                0.73144,                0.65017,                0.70701,                0.33225,                 1.9273,                  1.595,                 1.8693,              0.0017943,              0.0017943,              0.0017943
                      4,                  2.002,                 1.4999,                 1.6327,                 0.6087,                0.65087,                0.56613,                0.25341,                 1.8555,                 1.5703,                 1.7814,               0.001703,               0.001703,               0.001703
                      5,                 1.9023,                 1.4219,                 1.5733,                0.74506,                0.66899,                0.73788,                0.32331,                 1.9127,                 1.4869,                 1.8041,               0.001604,               0.001604,               0.001604
                      6,                 1.8279,                 1.2706,                 1.4926,                 0.8287,                0.72369,                0.81212,                0.38648,                 1.8021,                 1.3214,                 1.6751,               0.001505,               0.001505,               0.001505
                      7,                 1.7806,                  1.194,                 1.4668,                0.83918,                 0.7453,                0.82178,                0.34728,                 1.8851,                 1.2947,                 1.6919,               0.001406,               0.001406,               0.001406
                      8,                 1.7515,                 1.1589,                 1.4433,                0.87537,                0.76353,                0.85396,                0.45744,                 1.6987,                 1.2065,                  1.603,               0.001307,               0.001307,               0.001307
                      9,                 1.7371,                 1.1076,                 1.4282,                0.85839,                0.78362,                0.86907,                0.47081,                 1.6498,                 1.1296,                 1.5723,               0.001208,               0.001208,               0.001208
                     10,                 1.6974,                 1.0707,                 1.3777,                0.84571,                0.76272,                0.82109,                0.34652,                 1.8491,                 1.2092,                 1.6391,               0.001109,               0.001109,               0.001109
                     11,                 1.6667,                 1.0679,                 1.4365,                0.87229,                0.77666,                0.87002,                0.45386,                 1.7441,                 1.1426,                 1.5976,                0.00101,                0.00101,                0.00101
                     12,                 1.6458,                 1.0432,                 1.4301,                0.89277,                0.80069,                0.88844,                0.45905,                 1.6624,                 1.0412,                 1.5325,               0.000911,               0.000911,               0.000911
                     13,                 1.5961,                0.96024,                 1.3895,                0.89021,                0.82195,                0.90533,                0.51557,                 1.5584,                0.97043,                 1.4694,               0.000812,               0.000812,               0.000812
                     14,                 1.5784,                0.93415,                 1.3676,                0.92541,                0.83429,                0.92418,                0.53299,                 1.5175,                0.88528,                 1.4416,               0.000713,               0.000713,               0.000713
                     15,                 1.5591,                0.92259,                 1.3752,                0.91414,                0.82683,                0.92186,                 0.5274,                 1.5583,                0.91158,                 1.4563,               0.000614,               0.000614,               0.000614
                     16,                 1.5235,                0.87295,                 1.3518,                0.91229,                0.83101,                0.92514,                0.53904,                  1.514,                 0.9252,                 1.4328,               0.000515,               0.000515,               0.000515
                     17,                 1.4806,                 0.8621,                 1.3136,                0.90929,                 0.8547,                0.92924,                0.55052,                 1.4866,                0.86807,                 1.4158,               0.000416,               0.000416,               0.000416
                     18,                 1.4769,                0.83135,                 1.3212,                0.92259,                0.85192,                0.93629,                0.56587,                 1.4395,                0.82816,                 1.3869,               0.000317,               0.000317,               0.000317
                     19,                 1.4736,                0.82385,                  1.318,                0.91732,                0.85749,                0.94106,                0.57005,                 1.4229,                0.82327,                 1.3722,               0.000218,               0.000218,               0.000218
                     20,                 1.4628,                0.80727,                 1.3096,                0.91918,                0.85995,                0.94243,                 0.5734,                 1.4045,                0.80119,                 1.3663,               0.000119,               0.000119,               0.000119
