                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9327,                 4.7951,                 3.4673,                0.00012,                0.01672,                  6e-05,                  1e-05,                 4.9679,                 6.6883,                 4.1885,             0.00065812,             0.00065812,             0.00065812
                      2,                 2.1656,                 1.9075,                 1.8124,                0.51879,                0.35685,                0.31511,                0.07836,                 3.3967,                 3.1448,                 3.4995,              0.0012592,              0.0012592,              0.0012592
                      3,                 1.8424,                 1.4879,                  1.486,                0.74933,                0.43719,                0.51492,                0.18315,                 2.9174,                 2.4909,                 2.9037,              0.0017943,              0.0017943,              0.0017943
                      4,                 1.7048,                 1.3397,                 1.3654,                 0.3371,                0.45962,                0.23373,                0.07519,                 2.8796,                 2.6568,                 3.1073,               0.001703,               0.001703,               0.001703
                      5,                 1.6717,                 1.1797,                 1.3016,                0.65789,                0.46656,                 0.5049,                0.18271,                 2.9048,                 2.3777,                  2.972,               0.001604,               0.001604,               0.001604
                      6,                 1.5921,                 1.1207,                 1.2742,                0.76675,                0.50734,                0.56474,                0.19528,                 2.8909,                 2.1263,                 2.8309,               0.001505,               0.001505,               0.001505
                      7,                 1.5924,                  1.078,                 1.2627,                0.77166,                0.50307,                0.56393,                0.21615,                 2.7428,                 2.1176,                  2.767,               0.001406,               0.001406,               0.001406
                      8,                 1.5324,                 1.0044,                 1.2292,                 0.7057,                0.46452,                0.51277,                0.19358,                 2.9352,                 2.3376,                 2.8094,               0.001307,               0.001307,               0.001307
                      9,                 1.5071,                0.93581,                 1.1873,                0.43915,                0.48369,                0.28622,                0.10824,                 2.9034,                 2.7494,                 2.8925,               0.001208,               0.001208,               0.001208
                     10,                  1.461,                0.89567,                 1.1855,                0.76541,                0.54772,                0.59183,                0.20413,                 2.8788,                  1.983,                 2.7851,               0.001109,               0.001109,               0.001109
                     11,                 1.4216,                0.88075,                 1.2072,                0.52147,                0.56974,                0.38536,                0.13464,                 2.8398,                 2.0994,                 2.9197,                0.00101,                0.00101,                0.00101
                     12,                 1.4158,                0.84904,                 1.2092,                 0.6873,                0.50204,                0.54211,                0.19743,                 2.9257,                 2.1668,                 2.7944,               0.000911,               0.000911,               0.000911
                     13,                 1.3946,                0.80444,                 1.1974,                0.73637,                0.54486,                0.61043,                0.18504,                 2.8797,                 1.9149,                 2.6907,               0.000812,               0.000812,               0.000812
                     14,                 1.3644,                0.79611,                 1.1803,                 0.6822,                0.51427,                0.54838,                0.18512,                  2.916,                 2.0134,                 2.9109,               0.000713,               0.000713,               0.000713
                     15,                 1.3465,                0.74319,                 1.1609,                0.71111,                0.50326,                0.55941,                0.20869,                 2.8546,                 2.0815,                 2.7293,               0.000614,               0.000614,               0.000614
                     16,                 1.3353,                0.73441,                 1.1663,                0.75053,                0.52488,                 0.5912,                0.22216,                 2.8831,                 2.1439,                  2.667,               0.000515,               0.000515,               0.000515
                     17,                 1.2899,                0.71556,                 1.1374,                0.71729,                0.50897,                0.57465,                0.20275,                 2.8525,                 2.0657,                 2.7091,               0.000416,               0.000416,               0.000416
                     18,                 1.2978,                0.69347,                 1.1343,                0.68685,                0.46574,                0.52626,                0.20404,                 2.8614,                 2.2783,                 2.6766,               0.000317,               0.000317,               0.000317
                     19,                 1.2638,                0.68155,                 1.1213,                0.73875,                0.50367,                0.58405,                0.21693,                 2.7815,                 2.2264,                  2.659,               0.000218,               0.000218,               0.000218
                     20,                 1.2641,                0.67606,                 1.1307,                0.72457,                0.52035,                0.57814,                0.20627,                 2.8742,                   2.06,                 2.7176,               0.000119,               0.000119,               0.000119
