                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6051,                 4.3066,                 3.1261,                0.15579,                0.23328,                0.07119,                0.01699,                 3.5556,                 4.6893,                 3.9447,             0.00066237,             0.00066237,             0.00066237
                      2,                 2.1326,                   1.84,                 1.6646,                0.64269,                0.43353,                 0.4659,                 0.1531,                 2.8918,                 3.1293,                 3.0457,              0.0012632,              0.0012632,              0.0012632
                      3,                 1.7977,                   1.46,                 1.4352,                0.60219,                0.42374,                0.43502,                0.15893,                 2.8516,                 2.5078,                  3.019,              0.0017981,              0.0017981,              0.0017981
                      4,                  1.728,                 1.3101,                 1.3658,                 0.6213,                0.45759,                0.49169,                0.16235,                 2.9724,                 2.3605,                 2.9454,               0.001703,               0.001703,               0.001703
                      5,                 1.6525,                 1.1613,                 1.3029,                0.76022,                0.52773,                0.56904,                0.18983,                 2.8924,                 2.2478,                 2.8263,               0.001604,               0.001604,               0.001604
                      6,                 1.5948,                  1.094,                 1.2629,                0.57672,                0.48288,                 0.3827,                0.13537,                 2.9062,                 2.4196,                 2.8388,               0.001505,               0.001505,               0.001505
                      7,                 1.5549,                 1.0435,                 1.2377,                0.71113,                 0.5314,                0.57295,                0.21191,                 2.7896,                 2.0361,                  2.735,               0.001406,               0.001406,               0.001406
                      8,                 1.5599,                0.98231,                 1.2397,                0.72146,                0.50571,                 0.5689,                0.20552,                 2.8262,                 2.1964,                 2.7544,               0.001307,               0.001307,               0.001307
                      9,                 1.5175,                0.96454,                 1.2089,                0.33276,                0.51509,                0.22165,                0.07271,                  2.969,                 3.2441,                 3.3283,               0.001208,               0.001208,               0.001208
                     10,                 1.5014,                0.89604,                 1.1896,                0.64899,                0.45106,                0.49321,                0.19339,                 2.9874,                 2.2804,                 2.8581,               0.001109,               0.001109,               0.001109
                     11,                 1.4852,                0.93599,                 1.2294,                 0.7209,                0.53956,                0.57814,                0.21558,                 2.7845,                 2.0229,                 2.7216,                0.00101,                0.00101,                0.00101
                     12,                 1.4262,                   0.87,                   1.22,                0.62854,                0.49225,                0.43909,                0.15272,                 2.9211,                 2.2323,                 2.8541,               0.000911,               0.000911,               0.000911
                     13,                 1.3931,                 0.8212,                 1.1866,                0.67037,                 0.4633,                0.46903,                0.15938,                  2.942,                 2.3455,                 2.8486,               0.000812,               0.000812,               0.000812
                     14,                 1.3709,                0.80443,                 1.1889,                0.65356,                0.49388,                 0.5251,                0.20563,                  2.838,                 2.1732,                 2.6723,               0.000713,               0.000713,               0.000713
                     15,                 1.3646,                0.77393,                 1.1749,                0.69742,                0.47512,                0.50993,                0.19467,                  2.891,                 2.2513,                 2.7344,               0.000614,               0.000614,               0.000614
                     16,                 1.3411,                0.74368,                 1.1737,                0.65827,                0.50489,                0.53422,                0.17817,                 2.8771,                 2.1035,                 2.6939,               0.000515,               0.000515,               0.000515
                     17,                 1.3232,                0.71902,                  1.163,                0.71539,                0.47308,                0.53677,                0.20805,                 2.9013,                 2.3389,                  2.698,               0.000416,               0.000416,               0.000416
                     18,                 1.3079,                 0.7191,                 1.1422,                0.70372,                0.44005,                0.51188,                0.19568,                  2.905,                 2.2571,                 2.7458,               0.000317,               0.000317,               0.000317
                     19,                 1.3015,                0.70063,                 1.1484,                0.69906,                0.50493,                0.55366,                0.19254,                 2.8837,                 2.2235,                 2.7005,               0.000218,               0.000218,               0.000218
                     20,                 1.2763,                0.67636,                 1.1211,                0.63818,                0.51001,                0.54009,                0.19524,                  2.862,                 2.2904,                 2.6989,               0.000119,               0.000119,               0.000119
